component_id,node_count,user_count,merchant_count,transaction_count,transaction_value,chargeback_transactions,fraud_chargeback_transactions,chargeback_ratio,max_risk_score,identity_anomaly_transactions,repeated_chargeback_user_transactions,high_chargeback_merchant_transactions,network_risk_score,network_activity_flag
1,7,5,2,6,54489.72,2,0,0.3333333333333333,15.0,0.0,0,0,27.5,1
2,10,8,2,9,90848.49,1,0,0.1111111111111111,30.0,2.0,0,0,35.0,1
3,3,2,1,2,20984.21,0,0,0.0,0.0,0.0,0,0,0.0,1
4,7,5,2,6,87704.56999999999,0,0,0.0,15.0,1.0,0,0,12.5,1
5,14,11,3,13,181497.13,1,1,0.07692307692307693,55.0,0.0,2,0,77.5,1
6,15,11,4,14,178754.04,4,1,0.2857142857142857,47.0,0.0,0,0,93.5,1
7,6,5,1,5,47074.86,0,0,0.0,5.0,0.0,0,0,2.5,1
8,21,14,7,20,229812.91999999998,3,0,0.15,25.0,0.0,2,0,52.5,1
9,4,3,1,3,28443.67,0,0,0.0,0.0,0.0,0,0,0.0,1
10,2,1,1,1,16466.93,0,0,0.0,0.0,0.0,0,0,0.0,0
11,3,2,1,2,11882.96,0,0,0.0,2.0,0.0,0,0,1.0,1
12,14,10,4,13,127836.66,1,1,0.07692307692307693,45.0,0.0,0,0,62.5,1
13,8,7,1,7,85771.15,1,0,0.14285714285714285,15.0,0.0,0,0,17.5,1
14,3,2,1,2,13249.960000000001,0,0,0.0,0.0,0.0,0,0,0.0,1
15,2,1,1,1,20100.92,0,0,0.0,0.0,0.0,0,0,0.0,0
16,11,8,3,10,155815.38,2,1,0.2,45.0,0.0,0,0,72.5,1
17,5,4,1,4,14747.140000000003,1,0,0.25,15.0,1.0,0,0,22.5,1
18,4,3,1,3,49478.51,0,0,0.0,0.0,0.0,0,0,0.0,1
19,18,14,4,17,113799.70000000001,1,0,0.058823529411764705,15.0,0.0,0,0,17.5,1
20,4,3,1,3,19396.510000000002,0,0,0.0,0.0,0.0,0,0,0.0,1
21,3,2,1,2,26782.38,1,0,0.5,15.0,0.0,0,0,17.5,1
22,5,4,1,4,45195.33,0,0,0.0,5.0,0.0,0,0,2.5,1
23,10,7,3,9,74733.94,0,0,0.0,20.0,3.0,0,0,25.0,1
24,16,12,4,15,159748.84,0,0,0.0,20.0,5.0,0,0,35.0,1
25,10,7,3,9,128733.44,0,0,0.0,5.0,0.0,0,0,2.5,1
26,6,4,2,5,75897.06,2,0,0.4,25.0,0.0,2,0,42.5,1
27,3,2,1,2,27610.67,0,0,0.0,0.0,0.0,0,0,0.0,1
28,15,10,5,14,146848.94,0,0,0.0,15.0,1.0,0,0,12.5,1
29,6,4,2,5,25527.089999999997,0,0,0.0,0.0,0.0,0,0,0.0,1
30,29,21,8,28,341229.67,1,0,0.03571428571428571,15.0,1.0,0,0,22.5,1
31,5,4,1,4,66454.31,0,0,0.0,5.0,0.0,0,0,2.5,1
32,4,3,1,3,38565.97,0,0,0.0,15.0,1.0,0,0,12.5,1
33,13,9,4,12,134882.52000000002,0,0,0.0,0.0,0.0,0,0,0.0,1
34,7,5,2,6,67167.15,1,1,0.16666666666666666,45.0,0.0,0,0,62.5,1
35,65,45,20,64,728044.09,9,2,0.140625,45.0,0.0,2,0,182.5,1
36,23,15,8,22,250183.43,0,0,0.0,15.0,2.0,0,0,17.5,1
37,6,5,1,5,74321.92,0,0,0.0,13.0,0.0,0,0,6.5,1
38,5,4,1,4,63303.44,0,0,0.0,0.0,0.0,0,0,0.0,1
39,5,4,1,4,39300.32,1,1,0.25,45.0,1.0,0,0,67.5,1
40,5,4,1,4,44400.78,0,0,0.0,0.0,0.0,0,0,0.0,1
41,2,1,1,1,7504.98,0,0,0.0,0.0,0.0,0,0,0.0,0
42,20,15,5,19,243451.29,1,1,0.05263157894736842,45.0,3.0,0,0,77.5,1
43,6,4,2,5,30961.28,0,0,0.0,15.0,1.0,0,0,12.5,1
44,23,16,7,22,166633.66,3,1,0.13636363636363635,45.0,1.0,0,0,87.5,1
45,16,12,4,15,139845.95,1,1,0.06666666666666667,55.0,2.0,1,0,82.5,1
46,38,26,12,37,448669.33,2,2,0.05405405405405406,55.0,4.0,3,0,142.5,1
47,3,2,1,2,20415.9,1,0,0.5,15.0,0.0,0,0,17.5,1
48,7,5,2,6,69995.77,0,0,0.0,0.0,0.0,0,0,0.0,1
49,3,2,1,2,18894.68,1,1,0.5,45.0,0.0,0,0,62.5,1
50,10,7,3,9,77133.39,2,0,0.2222222222222222,30.0,3.0,0,0,50.0,1
51,2,1,1,1,1728.09,0,0,0.0,0.0,0.0,0,0,0.0,0
52,6,4,2,5,46358.74,1,0,0.2,15.0,1.0,0,0,22.5,1
53,5,4,1,4,63456.6,0,0,0.0,3.0,0.0,0,0,1.5,1
54,4,3,1,3,53210.72,0,0,0.0,22.0,1.0,0,0,16.0,1
55,4,3,1,3,37211.77,0,0,0.0,0.0,0.0,0,0,0.0,1
56,12,9,3,11,122297.3,3,0,0.2727272727272727,15.0,0.0,0,0,37.5,1
57,7,5,2,6,55297.58,2,0,0.3333333333333333,20.0,1.0,0,0,35.0,1
58,12,9,3,11,78454.51,2,1,0.18181818181818182,60.0,1.0,0,0,85.0,1
59,4,3,1,3,25311.1,2,1,0.6666666666666666,65.0,0.0,1,3,96.5,1
60,4,3,1,3,46034.66,1,1,0.3333333333333333,55.0,0.0,1,0,72.5,1
61,12,8,4,11,93660.35,2,1,0.18181818181818182,55.0,0.0,0,0,77.5,1
62,6,5,1,5,52578.99,2,1,0.4,45.0,0.0,0,0,72.5,1
63,3,2,1,2,19099.47,0,0,0.0,0.0,0.0,0,0,0.0,1
64,4,3,1,3,42918.81,0,0,0.0,0.0,0.0,0,0,0.0,1
65,4,3,1,3,24765.48,1,1,0.3333333333333333,45.0,0.0,0,0,62.5,1
66,4,3,1,3,66768.89,0,0,0.0,3.0,0.0,0,0,1.5,1
67,7,6,1,6,107294.68,1,0,0.16666666666666666,15.0,0.0,0,0,17.5,1
68,11,8,3,10,137443.16,1,1,0.1,45.0,0.0,0,0,62.5,1
