merchant_category_final,transaction_count,transaction_value,average_transaction_value,chargeback_transactions,fraud_chargeback_transactions,high_risk_transactions,risky_status_transactions,chargeback_ratio,fraud_chargeback_ratio,high_risk_transaction_ratio,chargeback_ratio_rank
OTHER,195,2217035.07,12248.812541436464,35,11,11,30,0.1794871794871795,0.05641025641025641,0.05641025641025641,1
STATIONERY,256,2979719.27,13011.874541484716,36,12,12,16,0.140625,0.046875,0.046875,2
MEDICAL_STORE,208,2128353.04,11143.209633507853,29,11,11,17,0.13942307692307693,0.052884615384615384,0.052884615384615384,3
MEDICAL,158,1774900.5,12325.697916666666,22,8,8,17,0.13924050632911392,0.05063291139240506,0.05063291139240506,4
TELECOM,454,4598870.63,11468.505311720697,63,23,23,41,0.13876651982378854,0.05066079295154185,0.05066079295154185,5
RETAIL,289,3040042.12,12209.004497991968,40,12,13,20,0.1384083044982699,0.04152249134948097,0.04498269896193772,6
PHONE SERVICE,240,2708885.66,12717.773051643193,33,11,11,17,0.1375,0.04583333333333333,0.04583333333333333,7
TRANSPORT,816,8571969.26,11807.120192837465,111,36,37,50,0.13602941176470587,0.04411764705882353,0.04534313725490196,8
MISC_RETAIL,669,6890982.79,11542.68474036851,85,29,29,49,0.12705530642750373,0.043348281016442454,0.043348281016442454,9
TRAVEL,182,1804988.01,11423.974746835444,23,10,10,7,0.12637362637362637,0.054945054945054944,0.054945054945054944,10
BOOKS,657,6881434.21,11546.030553691275,81,24,25,60,0.1232876712328767,0.0365296803652968,0.0380517503805175,11
APPAREL,981,10442794.3,11746.675253093365,120,48,48,74,0.12232415902140673,0.04892966360856269,0.04892966360856269,12
,10725,114782067.47,11887.123805923778,1303,476,481,0,0.12149184149184149,0.044382284382284386,0.044848484848484846,13
GROCERY,855,9607515.8,12444.968652849742,103,30,30,58,0.12046783625730995,0.03508771929824561,0.03508771929824561,14
HOTEL_LODGING,906,9224285.94,11276.633178484108,107,43,43,69,0.11810154525386314,0.04746136865342163,0.04746136865342163,15
PHARMACY,496,5462561.08,12112.108824833704,58,16,17,65,0.11693548387096774,0.03225806451612903,0.034274193548387094,16
FOOD_SERVICES,918,9941427.39,11934.486662665067,105,35,35,81,0.11437908496732026,0.03812636165577342,0.03812636165577342,17
DEPARTMENT STORE,749,8231786.15,12195.23874074074,77,31,31,52,0.102803738317757,0.04138851802403204,0.04138851802403204,18
MOBILE RECHARGE,246,2768054.61,12582.066409090909,20,7,7,15,0.08130081300813008,0.028455284552845527,0.028455284552845527,19
