transaction_date,transaction_count,transaction_value,successful_transactions,failed_transactions,pending_transactions,chargeback_transactions,fraud_chargeback_transactions,high_risk_transactions,chargeback_ratio,fraud_chargeback_ratio
2026-01-01,215,2333349.44,189,21,5,27,6,6,0.12558139534883722,0.027906976744186046
2026-01-02,198,2148265.31,169,20,9,20,8,8,0.10101010101010101,0.04040404040404041
2026-01-03,219,2310321.9,190,19,10,31,10,10,0.1415525114155251,0.045662100456621
2026-01-04,180,2090475.91,153,17,10,20,3,3,0.1111111111111111,0.016666666666666666
2026-01-05,165,1607738.68,141,16,8,19,8,8,0.11515151515151516,0.048484848484848485
2026-01-06,182,2032604.09,144,29,9,19,8,8,0.1043956043956044,0.04395604395604396
2026-01-07,171,1791775.4,152,12,7,21,6,6,0.12280701754385964,0.03508771929824561
2026-01-08,178,1835813.65,149,19,10,17,7,7,0.09550561797752809,0.03932584269662921
2026-01-09,185,2010051.85,168,15,2,24,7,7,0.12972972972972974,0.03783783783783784
2026-01-10,197,2038445.1,169,21,7,19,7,7,0.09644670050761421,0.03553299492385787
2026-01-11,184,1907386.09,156,17,11,25,10,10,0.1358695652173913,0.05434782608695652
2026-01-12,206,2399335.22,183,18,5,18,5,5,0.08737864077669903,0.024271844660194174
2026-01-13,233,2504717.96,198,20,15,28,11,11,0.12017167381974249,0.04721030042918455
2026-01-14,245,2612864.08,217,19,9,23,11,11,0.09387755102040816,0.044897959183673466
2026-01-15,233,2500960.35,198,23,12,33,15,15,0.14163090128755365,0.06437768240343347
2026-01-16,211,2404314.44,181,20,10,27,11,11,0.12796208530805686,0.052132701421800945
2026-01-17,213,2130674.86,180,23,10,30,15,15,0.14084507042253522,0.07042253521126761
2026-01-18,226,2420464.46,198,19,9,27,15,15,0.11946902654867257,0.06637168141592921
2026-01-19,214,2219832.69,183,21,10,26,10,10,0.12149532710280374,0.04672897196261682
2026-01-20,218,2125816.11,194,16,8,34,10,10,0.1559633027522936,0.045871559633027525
2026-01-21,207,2363713.99,182,12,13,29,10,11,0.14009661835748793,0.04830917874396135
2026-01-22,222,2231737.7,190,19,13,24,8,8,0.10810810810810811,0.036036036036036036
2026-01-23,202,2218228.11,163,22,17,33,12,12,0.16336633663366337,0.0594059405940594
2026-01-24,206,2089608.4,177,19,10,24,4,4,0.11650485436893204,0.019417475728155338
2026-01-25,202,2376830.7,174,13,15,27,8,8,0.13366336633663367,0.039603960396039604
2026-01-26,215,2198352.67,179,26,10,36,11,12,0.16744186046511628,0.05116279069767442
2026-01-27,224,2581214.77,193,23,8,23,7,7,0.10267857142857142,0.03125
2026-01-28,232,2480829.88,199,24,9,36,11,11,0.15517241379310345,0.04741379310344827
2026-01-29,217,2242911.71,182,22,13,29,14,14,0.1336405529953917,0.06451612903225806
2026-01-30,242,2705284.66,212,20,10,30,13,13,0.12396694214876033,0.05371900826446281
2026-01-31,236,2294006.54,195,27,14,28,13,13,0.11864406779661017,0.05508474576271186
2026-02-01,217,2409294.85,181,19,17,23,12,12,0.10599078341013825,0.055299539170506916
2026-02-02,218,2457973.29,190,18,10,25,7,7,0.11467889908256881,0.03211009174311927
2026-02-03,194,2093817.73,163,25,6,24,10,10,0.12371134020618557,0.05154639175257732
2026-02-04,169,1617367.9,146,13,10,20,7,7,0.11834319526627218,0.04142011834319527
2026-02-05,165,1581097.94,142,17,6,16,2,2,0.09696969696969697,0.012121212121212121
2026-02-06,200,1928642.78,164,25,11,26,7,7,0.13,0.035
2026-02-07,201,2101769.71,178,13,10,26,8,8,0.12935323383084577,0.03980099502487562
2026-02-08,170,1585606.36,135,22,13,22,6,6,0.12941176470588237,0.03529411764705882
2026-02-09,165,1743135.1199999999,135,17,13,14,5,5,0.08484848484848485,0.030303030303030304
2026-02-10,183,2088101.35,162,15,6,16,3,3,0.08743169398907104,0.01639344262295082
2026-02-11,199,2121402.85,168,22,9,24,6,6,0.12060301507537688,0.03015075376884422
2026-02-12,175,1997097.6199999999,152,18,5,20,6,6,0.11428571428571428,0.03428571428571429
2026-02-13,221,2435035.25,187,26,8,29,9,9,0.13122171945701358,0.04072398190045249
2026-02-14,237,2736343.63,196,29,12,31,10,10,0.1308016877637131,0.04219409282700422
2026-02-15,213,2182575.52,174,25,14,27,11,11,0.1267605633802817,0.051643192488262914
2026-02-16,222,2408136.59,190,20,12,31,5,5,0.13963963963963963,0.02252252252252252
2026-02-17,249,2458147.25,208,28,13,27,11,11,0.10843373493975904,0.04417670682730924
2026-02-18,227,2461952.51,190,24,13,27,7,7,0.11894273127753303,0.030837004405286344
2026-02-19,203,2253745.54,170,22,11,21,10,11,0.10344827586206896,0.04926108374384237
2026-02-20,223,2442057.44,198,16,9,21,8,8,0.09417040358744394,0.03587443946188341
2026-02-21,208,2285530.03,176,21,11,28,9,9,0.1346153846153846,0.04326923076923077
2026-02-22,214,2290256.84,187,17,10,29,10,10,0.13551401869158877,0.04672897196261682
2026-02-23,226,2447466.55,188,29,9,30,7,7,0.13274336283185842,0.030973451327433628
