txn_id,timestamp,user_id,merchant_id,merchant_name,merchant_category_final,amount_numeric,status_clean,fraud_risk_score,fraud_risk_band,investigation_priority,risk_reasons,chargeback_flag,fraud_chargeback_flag,strong_identity_anomaly_flag,repeated_chargeback_user_flag,high_chargeback_merchant_flag,high_risk_user_flag,kyc_rejected_transaction_flag,velocity_anomaly_flag,high_value_transaction_flag,merchant_status_risk_flag,kyc_status,risk_segment,merchant_status,kyc_match_flag,merchant_match_flag,recommended_action
TXN00008304,2026-03-20 05:00:36,USR95674,MCH5401,"Sama, Ar0ra and Mem0n",BOOKS,5379.22,SUCCESS,45.0,HIGH,P2 - High Priority,"Fraud/Unauthorized Chargeback, Chargeback",True,True,0.0,0,0,False,False,0,False,False,UNKNOWN,MEDIUM,ACTIVE,True,True,Review transaction and chargeback evidence
TXN00017871,2026-03-23 02:31:39,USR84134,MCH7932,SETHI LTD,TELECOM,1129.96,FAIL,55.0,HIGH,P2 - High Priority,"Fraud/Unauthorized Chargeback, Chargeback, Repeated User Chargebacks",True,True,0.0,1,0,False,False,0,False,False,,,Active,False,True,Review transaction and chargeback evidence
TXN00012810,2026-01-28 00:00:00,USR16089,MCH3478,,,14920.61,SUCCESS,65.0,CRITICAL,P1 - Immediate Review,"Fraud/Unauthorized Chargeback, Chargeback, Repeated User Chargebacks, High-Chargeback Merchant",True,True,0.0,1,1,False,False,0,False,False,APPROVED,LOW,,True,False,Immediate fraud investigation
TXN00014556,2026-01-15 17:25:05,USR81688,MCH2222,"Mani, Ravel and Agrawal",APPAREL,10183.23,SUCCESS,45.0,HIGH,P2 - High Priority,"Fraud/Unauthorized Chargeback, Chargeback",True,True,0.0,0,0,False,False,0,False,False,VERIFIED,LOW,ACTIVE,True,True,Review transaction and chargeback evidence
TXN00016736,2026-02-13 10:42:16,USR86671,MCH1318,GUPTA LLC,TELECOM,22925.42,SUCCESS,45.0,HIGH,P2 - High Priority,"Fraud/Unauthorized Chargeback, Chargeback",True,True,0.0,0,0,False,False,0,False,False,,,Active,False,True,Review transaction and chargeback evidence
TXN00013883,2026-01-31 20:52:51,USR66862,MCH5569,"Thaman, Kar and Dass",MISC_RETAIL,16368.07,SUCCESS,45.0,HIGH,P2 - High Priority,"Fraud/Unauthorized Chargeback, Chargeback",True,True,0.0,0,0,False,False,0,False,False,,,I,False,True,Review transaction and chargeback evidence
TXN00010462,2026-01-10 06:57:34,USR74619,MCH7994,,,13136.01,SUCCESS,45.0,HIGH,P2 - High Priority,"Fraud/Unauthorized Chargeback, Chargeback",True,True,0.0,0,0,False,False,0,False,False,,,,False,False,Review transaction and chargeback evidence
TXN00000132,2026-01-31 15:03:31,USR43994,MCH5882,,,5560.47,SUCCESS,45.0,HIGH,P2 - High Priority,"Fraud/Unauthorized Chargeback, Chargeback",True,True,0.0,0,0,False,False,0,False,False,VERIFIED,LOW,,True,False,Review transaction and chargeback evidence
TXN00003304,2026-01-28 22:13:38,USR58932,MCH3308,Misra Inc,RETAIL,8035.84,INITIATED,45.0,HIGH,P2 - High Priority,"Fraud/Unauthorized Chargeback, Chargeback",True,True,0.0,0,0,False,False,0,False,False,,,A,False,True,Review transaction and chargeback evidence
TXN00000045,2026-02-03 00:50:28,USR81314,MCH2213,"Dash,SoniandPalla",HOTEL_LODGING,6476.91,SUCCESS,45.0,HIGH,P2 - High Priority,"Fraud/Unauthorized Chargeback, Chargeback",True,True,0.0,0,0,False,False,0,False,False,APPROVED,LOW,ACTIVE,True,True,Review transaction and chargeback evidence
TXN00010372,2026-03-08 10:02:29,USR61908,MCH1065,,,22612.8,SUCCESS,45.0,HIGH,P2 - High Priority,"Fraud/Unauthorized Chargeback, Chargeback",True,True,0.0,0,0,False,False,0,False,False,,,,False,False,Review transaction and chargeback evidence
TXN00012193,2026-03-10 23:00:55,USR16487,MCH5328,Dhaliwal Inc,FOOD_SERVICES,23532.06,SUCCESS,45.0,HIGH,P2 - High Priority,"Fraud/Unauthorized Chargeback, Chargeback",True,True,0.0,0,0,False,False,0,False,False,,,A,False,True,Review transaction and chargeback evidence
