merchant_id,merchant_name,merchant_category_final,transaction_count,transaction_value,average_transaction_value,chargeback_transactions,fraud_chargeback_transactions,high_risk_transactions,risky_status_transactions,high_chargeback_merchant_transactions,chargeback_ratio,fraud_chargeback_ratio,high_risk_transaction_ratio
MCH1744,"Mani, Tara and Mane",TRAVEL,3,1470.19,1470.19,3,2,2,0,3,1.0,0.6666666666666666,0.6666666666666666
MCH3549,Khalsa and Sons,FOOD_SERVICES,3,47166.97,15722.323333333334,3,2,2,0,3,1.0,0.6666666666666666,0.6666666666666666
MCH5278,"  Sarraf, Peri and Ratti  ",MISC_RETAIL,3,45200.09,15066.696666666665,3,0,0,0,3,1.0,0.0,0.0
MCH1089,"Mann, Edwin and Misra",GROCERY,2,26353.47,13176.735,2,0,0,0,0,1.0,0.0,0.0
MCH1186,,,2,19490.03,9745.015,2,0,0,0,0,1.0,0.0,0.0
MCH1527,,,2,28718.08,14359.04,2,1,1,0,0,1.0,0.5,0.5
MCH1760,,,2,16465.87,8232.935,2,0,0,0,0,1.0,0.0,0.0
MCH2048,,,2,20606.44,10303.22,2,1,1,0,0,1.0,0.5,0.5
MCH2204,,,2,19604.760000000002,9802.380000000001,2,0,0,0,0,1.0,0.0,0.0
MCH2529,Sheth-Pal,BOOKS,2,39310.36,19655.18,2,1,1,0,0,1.0,0.5,0.5
MCH2820,,,2,11375.33,5687.665,2,1,1,0,0,1.0,0.5,0.5
MCH3325,Varty-Vig,PHARMACY,2,16809.57,8404.785,2,0,0,0,0,1.0,0.0,0.0
MCH3668,Pandey-Uppal,TRANSPORT,2,15589.89,7794.945,2,0,0,0,0,1.0,0.0,0.0
MCH3936,,,2,23638.36,11819.18,2,0,0,0,2,1.0,0.0,0.0
MCH4013,,,2,35218.46,17609.23,2,1,1,0,0,1.0,0.5,0.5
MCH4074,,,2,15171.619999999999,7585.8099999999995,2,1,1,0,0,1.0,0.5,0.5
MCH4100,RAJA-VASA,HOTEL_LODGING,2,15742.74,7871.37,2,1,1,0,0,1.0,0.5,0.5
MCH4302,,,2,18943.16,9471.58,2,1,1,0,0,1.0,0.5,0.5
MCH5056,subramaniam plc,GROCERY,2,15656.11,7828.055,2,0,0,0,0,1.0,0.0,0.0
MCH5422,sawhney llc,APPAREL,2,49370.93,24685.465,2,1,1,0,2,1.0,0.5,0.5
MCH5750,,,2,11945.449999999999,5972.724999999999,2,1,1,0,0,1.0,0.5,0.5
MCH5751,,,2,21737.78,21737.78,2,1,1,0,0,1.0,0.5,0.5
MCH5882,,,2,12615.0,6307.5,2,1,1,0,0,1.0,0.5,0.5
MCH6064,Viswanathan-Tak,BOOKS,2,32178.59,16089.295,2,0,0,0,0,1.0,0.0,0.0
MCH6523,Ramanathan-Wali,OTHER,2,21015.079999999998,10507.539999999999,2,0,0,0,0,1.0,0.0,0.0
MCH6715,,,2,6114.09,3057.045,2,0,0,0,0,1.0,0.0,0.0
MCH6746,"Tank, Chanda and Kothari",GROCERY,2,18912.93,9456.465,2,0,0,0,0,1.0,0.0,0.0
MCH7436,Mane-Trivedi,MEDICAL_STORE,2,28191.399999999998,14095.699999999999,2,1,1,0,2,1.0,0.5,0.5
MCH7892,,,2,20689.059999999998,10344.529999999999,2,2,2,0,0,1.0,1.0,1.0
MCH8496,Sandhu PLC,BOOKS,2,27568.04,13784.02,2,0,0,2,0,1.0,0.0,0.0
MCH8616,RATTI-JHA,APPAREL,2,29432.519999999997,14716.259999999998,2,1,1,0,0,1.0,0.5,0.5
MCH8755,  Guha-Dara  ,MISC_RETAIL,2,9483.67,4741.835,2,0,0,0,0,1.0,0.0,0.0
MCH9075,BHAKTA INC,PHONE SERVICE,2,33981.28,16990.64,2,1,1,0,0,1.0,0.5,0.5
MCH9548,Raja PLC,TRANSPORT,2,21796.46,10898.23,2,0,0,0,0,1.0,0.0,0.0
MCH9758,,,2,46552.96,23276.48,2,1,1,0,0,1.0,0.5,0.5
MCH1017,,,1,18198.36,18198.36,1,1,1,0,0,1.0,1.0,1.0
MCH1065,,,1,22612.8,22612.8,1,1,1,0,0,1.0,1.0,1.0
MCH1111,,,1,21892.58,21892.58,1,1,1,0,0,1.0,1.0,1.0
MCH1122,Bakshi and Sons,DEPARTMENT STORE,1,0.0,,1,1,1,0,0,1.0,1.0,1.0
MCH1139,,,1,14301.02,14301.02,1,0,0,0,0,1.0,0.0,0.0
MCH1274,,,1,7170.12,7170.12,1,0,0,0,0,1.0,0.0,0.0
MCH1276,,,1,16595.74,16595.74,1,0,0,0,0,1.0,0.0,0.0
MCH1308,SUBRAMANIAM-SHANKAR,PHARMACY,1,8357.03,8357.03,1,1,1,1,0,1.0,1.0,1.0
