txn_id,user_id,merchant_id,amount_numeric,fraud_risk_score,fraud_risk_band,fraud_chargeback_flag,chargeback_flag,strong_identity_anomaly_flag,repeated_chargeback_user_flag,high_chargeback_merchant_flag,component_id
TXN00011869,USR45826,MCH7045,15722.34,15.0,LOW,False,True,0.0,0,0,1
TXN00010383,USR79397,MCH5031,6362.9,30.0,MEDIUM,False,True,1.0,0,0,2
TXN00008297,USR87810,MCH9809,15446.19,0.0,LOW,False,False,0.0,0,0,3
TXN00006448,USR54287,MCH6928,12110.49,0.0,LOW,False,False,0.0,0,0,4
TXN00018792,USR53865,MCH8121,19432.94,0.0,LOW,False,False,0.0,0,0,5
TXN00000400,USR90546,MCH6773,18866.03,5.0,LOW,False,False,0.0,0,0,6
TXN00015249,USR18691,MCH7856,19982.69,0.0,LOW,False,False,0.0,0,0,7
TXN00007121,USR16629,MCH7753,22687.5,0.0,LOW,False,False,0.0,0,0,8
TXN00008460,USR20899,MCH9111,8256.07,0.0,LOW,False,False,0.0,0,0,9
TXN00002541,USR51755,MCH2949,16466.93,0.0,LOW,False,False,0.0,0,0,10
TXN00003797,USR81003,MCH5292,,2.0,LOW,False,False,0.0,0,0,11
TXN00000092,USR70687,MCH4523,17833.99,0.0,LOW,False,False,0.0,0,0,12
TXN00004622,USR37834,MCH5213,19118.63,15.0,LOW,False,True,0.0,0,0,13
TXN00001542,USR78386,MCH4890,2680.85,0.0,LOW,False,False,0.0,0,0,14
TXN00002592,USR21114,MCH9819,20100.92,0.0,LOW,False,False,0.0,0,0,15
TXN00017665,USR96222,MCH6009,16257.95,0.0,LOW,False,False,0.0,0,0,16
TXN00002012,USR13976,MCH8222,1575.7,0.0,LOW,False,False,0.0,0,0,17
TXN00015655,USR55935,MCH8480,18230.29,0.0,LOW,False,False,0.0,0,0,18
TXN00011091,USR13890,MCH8216,-23820.57,0.0,LOW,False,False,0.0,0,0,19
TXN00008584,USR15778,MCH3250,,0.0,LOW,False,False,0.0,0,0,20
TXN00004474,USR15834,MCH3895,8892.43,0.0,LOW,False,False,0.0,0,0,21
TXN00013857,USR33189,MCH4645,1816.08,0.0,LOW,False,False,0.0,0,0,22
TXN00012705,USR48168,MCH4207,3530.72,15.0,LOW,False,False,1.0,0,0,23
TXN00008884,USR99474,MCH1206,7998.11,0.0,LOW,False,False,0.0,0,0,24
TXN00007528,USR86253,MCH1683,13694.93,0.0,LOW,False,False,0.0,0,0,25
TXN00011321,USR85411,MCH6621,15076.69,0.0,LOW,False,False,0.0,0,0,26
TXN00003742,USR92327,MCH8759,20437.02,0.0,LOW,False,False,0.0,0,0,27
TXN00008492,USR54536,MCH8074,3384.6,0.0,LOW,False,False,0.0,0,0,28
TXN00016765,USR93890,MCH5711,,0.0,LOW,False,False,0.0,0,0,29
TXN00017694,USR40732,MCH9490,,0.0,LOW,False,False,0.0,0,0,30
TXN00006528,USR29622,MCH4964,20882.75,2.0,LOW,False,False,0.0,0,0,31
TXN00013401,USR31880,MCH1798,24701.82,3.0,LOW,False,False,0.0,0,0,32
TXN00004494,USR95466,MCH5376,19908.13,0.0,LOW,False,False,0.0,0,0,33
TXN00011094,USR75900,MCH1058,8314.42,5.0,LOW,False,False,0.0,0,0,34
TXN00017273,USR76790,MCH6075,,0.0,LOW,False,False,0.0,0,0,35
TXN00009281,USR68024,MCH5104,10455.06,0.0,LOW,False,False,0.0,0,0,36
TXN00006056,USR74396,MCH3197,12329.64,0.0,LOW,False,False,0.0,0,0,37
TXN00010147,USR91777,MCH4915,19600.29,0.0,LOW,False,False,0.0,0,0,38
TXN00008021,USR87162,MCH8216,,0.0,LOW,False,False,0.0,0,0,19
TXN00015299,USR81720,MCH9260,15641.17,0.0,LOW,False,False,0.0,0,0,39
TXN00012856,USR76098,MCH6109,,0.0,LOW,False,False,0.0,0,0,40
TXN00002230,USR41686,MCH3071,7504.98,0.0,LOW,False,False,0.0,0,0,41
TXN00008304,USR95674,MCH5401,5379.22,45.0,HIGH,True,True,0.0,0,0,35
TXN00002751,USR62352,MCH6961,9710.26,0.0,LOW,False,False,0.0,0,0,42
TXN00016154,USR24396,MCH4549,7444.86,5.0,LOW,False,False,0.0,0,0,43
TXN00002002,USR30273,MCH3715,6182.0,2.0,LOW,False,False,0.0,0,0,44
TXN00017871,USR84134,MCH7932,1129.96,55.0,HIGH,True,True,0.0,1,0,45
TXN00009906,USR91737,MCH9669,9793.08,0.0,LOW,False,False,0.0,0,0,46
TXN00012105,USR62385,MCH7681,7551.46,15.0,LOW,False,True,0.0,0,0,47
TXN00003363,USR87291,MCH4490,17312.05,0.0,LOW,False,False,0.0,0,0,48
TXN00004301,USR98963,MCH8511,2024.58,0.0,LOW,False,False,0.0,0,0,49
TXN00012813,USR20191,MCH8936,,0.0,LOW,False,False,0.0,0,0,50
TXN00009678,USR64256,MCH3235,1728.09,0.0,LOW,False,False,0.0,0,0,51
TXN00017971,USR62625,MCH9776,1198.21,15.0,LOW,False,False,1.0,0,0,52
TXN00016152,USR20475,MCH5563,13950.77,0.0,LOW,False,False,0.0,0,0,53
TXN00011334,USR32767,MCH8033,18247.02,22.0,MEDIUM,False,False,1.0,0,0,54
TXN00012493,USR18021,MCH3684,8404.49,0.0,LOW,False,False,0.0,0,0,55
TXN00002376,USR38437,MCH4578,6891.78,0.0,LOW,False,False,0.0,0,0,56
TXN00016897,USR67814,MCH5171,1728.83,0.0,LOW,False,False,0.0,0,0,57
TXN00003924,USR42819,MCH7536,6655.55,15.0,LOW,False,True,0.0,0,0,58
TXN00012810,USR16089,MCH3478,14920.61,65.0,CRITICAL,True,True,0.0,1,1,59
TXN00014604,USR90912,MCH3992,6800.75,0.0,LOW,False,False,0.0,0,0,60
TXN00008536,USR90160,MCH8495,8104.15,0.0,LOW,False,False,0.0,0,0,61
TXN00014556,USR81688,MCH2222,10183.23,45.0,HIGH,True,True,0.0,0,0,62
TXN00004965,USR65014,MCH3468,12070.2,0.0,LOW,False,False,0.0,0,0,63
TXN00012380,USR11339,MCH9899,22522.69,0.0,LOW,False,False,0.0,0,0,64
TXN00016736,USR86671,MCH1318,22925.42,45.0,HIGH,True,True,0.0,0,0,65
TXN00006289,USR35502,MCH6411,24165.1,3.0,LOW,False,False,0.0,0,0,66
TXN00013908,USR13844,MCH6787,915.95,5.0,LOW,False,False,0.0,0,0,35
TXN00005968,USR20374,MCH9694,,15.0,LOW,False,True,0.0,0,0,67
TXN00010276,USR50541,MCH2324,12011.12,0.0,LOW,False,False,0.0,0,0,68
TXN00006474,USR15164,MCH2258,24223.92,3.0,LOW,False,False,0.0,0,0,69
TXN00010498,USR80912,MCH8382,14757.01,0.0,LOW,False,False,0.0,0,0,70
TXN00014376,USR70302,MCH5376,20627.72,0.0,LOW,False,False,0.0,0,0,33
TXN00000489,USR16400,MCH8181,23760.78,3.0,LOW,False,False,0.0,0,0,71
TXN00015714,USR28439,MCH5333,21372.31,2.0,LOW,False,False,0.0,0,0,72
TXN00014711,USR90525,MCH9888,10222.36,15.0,LOW,False,True,0.0,0,0,73
TXN00018474,USR50590,MCH6271,10839.22,15.0,LOW,False,False,1.0,0,0,74
TXN00000224,USR15259,MCH1799,9199.22,20.0,MEDIUM,False,False,1.0,0,0,75
TXN00005633,USR69720,MCH9129,4672.89,0.0,LOW,False,False,0.0,0,0,76
TXN00004328,USR19395,MCH4330,24563.21,3.0,LOW,False,False,0.0,0,0,77
TXN00009685,USR48293,MCH3778,13853.0,0.0,LOW,False,False,0.0,0,0,78
TXN00002724,USR74105,MCH2807,11455.31,0.0,LOW,False,False,0.0,0,0,79
TXN00012687,USR17936,MCH4330,,0.0,LOW,False,False,0.0,0,0,77
TXN00013883,USR66862,MCH5569,16368.07,45.0,HIGH,True,True,0.0,0,0,80
TXN00010284,USR84713,MCH8033,20724.96,2.0,LOW,False,False,0.0,0,0,54
TXN00016950,USR92059,MCH5284,,0.0,LOW,False,False,0.0,0,0,81
TXN00001288,USR62469,MCH4709,8772.17,0.0,LOW,False,False,0.0,0,0,82
TXN00018168,USR18484,MCH7007,14231.14,0.0,LOW,False,False,0.0,0,0,83
TXN00019686,USR18812,MCH4407,12580.71,0.0,LOW,False,False,0.0,0,0,84
TXN00003100,USR57308,MCH7112,10845.23,0.0,LOW,False,False,0.0,0,0,85
TXN00004458,USR45841,MCH8118,3508.28,0.0,LOW,False,False,0.0,0,0,86
TXN00005596,USR14781,MCH9010,11951.91,0.0,LOW,False,False,0.0,0,0,87
TXN00013560,USR52838,MCH2487,12874.04,0.0,LOW,False,False,0.0,0,0,88
TXN00005113,USR59091,MCH5481,15023.8,0.0,LOW,False,False,0.0,0,0,89
TXN00004382,USR41359,MCH6188,,0.0,LOW,False,False,0.0,0,0,90
