network_rank,component_id,node_count,user_count,merchant_count,transaction_count,transaction_value,chargeback_transactions,fraud_chargeback_transactions,chargeback_ratio,max_risk_score,identity_anomaly_transactions,repeated_chargeback_user_transactions,high_chargeback_merchant_transactions,network_risk_score
1,464,18,12,6,17,115123.22,7,4,0.4117647058823529,55.0,0.0,2,3,236.5
2,237,36,28,8,35,283657.03,6,3,0.17142857142857143,65.0,1.0,2,7,218.5
3,323,49,35,14,48,615137.04,9,2,0.1875,45.0,2.0,4,4,214.5
4,375,48,35,13,47,434789.05,11,2,0.23404255319148937,45.0,2.0,2,0,212.5
5,1680,12,8,4,11,83294.8,6,3,0.5454545454545454,65.0,0.0,3,4,209.5
6,925,14,11,3,13,171224.76,4,3,0.3076923076923077,68.0,2.0,2,3,193.0
7,250,31,24,7,30,204765.58000000002,5,3,0.16666666666666666,55.0,0.0,0,7,188.5
8,35,65,45,20,64,728044.09,9,2,0.140625,45.0,0.0,2,0,182.5
9,290,32,23,9,31,396132.68,5,3,0.16129032258064516,48.0,3.0,0,0,179.0
10,353,13,10,3,12,102371.04000000001,4,3,0.3333333333333333,55.0,1.0,0,4,174.5
11,637,13,10,3,12,109501.23,3,2,0.25,85.0,1.0,3,6,170.5
12,461,27,21,6,26,280137.47,3,3,0.11538461538461539,65.0,1.0,2,0,167.5
13,314,42,31,11,41,494059.42,4,3,0.0975609756097561,55.0,0.0,1,0,162.5
14,560,39,29,10,38,488894.1,6,2,0.15789473684210525,55.0,0.0,2,0,157.5
15,3219,5,4,1,4,22507.440000000002,2,2,0.5,85.0,2.0,2,4,154.5
16,968,50,36,14,49,585411.5700000001,5,1,0.10204081632653061,68.0,2.0,3,5,154.0
17,211,10,7,3,9,59560.65,4,2,0.4444444444444444,55.0,3.0,2,0,152.5
18,143,20,15,5,19,187025.66999999998,4,2,0.21052631578947367,65.0,0.0,1,5,152.5
19,322,8,5,3,7,44435.020000000004,4,2,0.5714285714285714,60.0,0.0,4,0,150.0
20,338,11,9,2,10,146465.44,3,2,0.3,65.0,0.0,1,7,148.5
21,229,31,23,8,30,353188.8,5,2,0.16666666666666666,45.0,3.0,0,0,147.5
22,365,15,10,5,14,174269.33000000002,3,2,0.21428571428571427,65.0,1.0,2,3,146.5
23,2798,6,5,1,5,41623.73,3,2,0.6,70.0,1.0,0,5,145.0
24,1330,9,7,2,8,94669.88,2,2,0.25,70.0,2.0,1,5,145.0
25,466,13,9,4,12,110262.67,3,2,0.25,65.0,0.0,2,4,144.5
26,46,38,26,12,37,448669.33,2,2,0.05405405405405406,55.0,4.0,3,0,142.5
27,2504,34,26,8,33,388386.55,5,2,0.15151515151515152,45.0,1.0,0,0,137.5
28,369,29,20,9,28,244546.66,2,2,0.07142857142857142,45.0,7.0,0,0,137.5
29,1397,22,17,5,21,126316.32,4,1,0.19047619047619047,60.0,7.0,0,0,135.0
30,1166,5,4,1,4,68884.54000000001,3,2,0.75,55.0,1.0,0,4,134.5
31,581,5,4,1,4,52637.75,2,2,0.5,65.0,1.0,1,4,134.5
32,127,35,24,11,34,293951.38,5,2,0.14705882352941177,45.0,0.0,0,0,132.5
33,480,37,28,9,36,357837.05,4,1,0.1111111111111111,55.0,4.0,3,0,132.5
34,1880,4,3,1,3,31917.059999999998,2,2,0.6666666666666666,65.0,1.0,1,3,131.5
35,4182,5,4,1,4,36102.049999999996,2,2,0.5,65.0,0.0,1,4,129.5
36,139,14,11,3,13,206707.09,3,1,0.23076923076923078,48.0,3.0,1,8,128.0
37,1694,6,4,2,5,48216.740000000005,3,2,0.6,55.0,0.0,2,0,127.5
38,1319,11,8,3,10,134488.07,4,2,0.4,45.0,1.0,0,0,127.5
39,1552,15,12,3,14,197008.38999999998,4,2,0.2857142857142857,45.0,1.0,0,0,127.5
40,2813,4,3,1,3,47166.97,3,2,1.0,55.0,0.0,0,3,126.5
41,2745,8,6,2,7,59809.450000000004,3,2,0.42857142857142855,60.0,1.0,0,0,125.0
42,504,23,16,7,22,212405.08000000002,5,1,0.22727272727272727,60.0,3.0,0,0,125.0
43,261,10,5,5,9,116771.79000000001,2,2,0.2222222222222222,55.0,1.0,2,0,122.5
44,2000,11,8,3,10,129820.88999999998,2,2,0.2,55.0,0.0,3,0,122.5
45,75,18,14,4,17,249037.71,3,2,0.17647058823529413,45.0,2.0,0,0,122.5
46,402,20,14,6,19,195590.05,3,2,0.15789473684210525,45.0,2.0,0,0,122.5
47,997,38,28,10,37,339112.58999999997,3,2,0.08108108108108109,45.0,2.0,0,0,122.5
48,807,12,9,3,11,118439.62,4,1,0.36363636363636365,55.0,2.0,0,4,119.5
49,449,11,9,2,10,148764.35,3,2,0.3,48.0,1.0,0,0,119.0
50,1719,8,6,2,7,94459.2,2,2,0.2857142857142857,57.0,0.0,2,0,118.5
