txn_id,timestamp,user_id,merchant_id,merchant_name,merchant_category,amount_numeric,status_clean,fraud_risk_score,fraud_risk_band,investigation_priority,risk_reasons,recommended_action
TXN00011255,2026-03-08 00:00:00,USR95217,MCH9572,,,8219.44,SUCCESS,85,CRITICAL,P1 - Immediate Review,Fraud/unauthorized chargeback; Chargeback; Strong identity anomaly; Repeated user chargebacks; High-chargeback merchant; KYC rejected/failed,Immediately review fraud/unauthorized chargeback evidence
TXN00001975,2026-02-01 13:44:13,USR99484,MCH5922,,,7475.15,SUCCESS,85,CRITICAL,P1 - Immediate Review,Fraud/unauthorized chargeback; Chargeback; Strong identity anomaly; Repeated user chargebacks; High-chargeback merchant; High transaction velocity,Immediately review fraud/unauthorized chargeback evidence
TXN00017748,2026-02-02 09:40:09,USR61630,MCH9572,,,6599.82,SUCCESS,80,CRITICAL,P1 - Immediate Review,Fraud/unauthorized chargeback; Chargeback; Strong identity anomaly; Repeated user chargebacks; High-chargeback merchant,Immediately review fraud/unauthorized chargeback evidence
TXN00004673,2026-01-22 03:34:49,USR93634,MCH5953,"Sandhu, Srinivas and Thakur",garments,18137.04,SUCCESS,75,CRITICAL,P1 - Immediate Review,Fraud/unauthorized chargeback; Chargeback; Strong identity anomaly; Repeated user chargebacks; KYC rejected/failed,Immediately review fraud/unauthorized chargeback evidence
TXN00015779,2026-01-09 05:28:02,USR37017,MCH4560,Shankar Ltd,Telecom,839.58,SUCCESS,75,CRITICAL,P1 - Immediate Review,Fraud/unauthorized chargeback; Chargeback; Strong identity anomaly; Repeated user chargebacks; High-risk user,Immediately review fraud/unauthorized chargeback evidence
TXN00019212,2026-01-05 16:31:08,USR60294,MCH6994,,,18650.46,SUCCESS,70,CRITICAL,P1 - Immediate Review,Fraud/unauthorized chargeback; Chargeback; Strong identity anomaly; Repeated user chargebacks,Immediately review fraud/unauthorized chargeback evidence
TXN00019786,2026-01-17 02:40:53,USR59386,MCH6257,"Parsa, Rana and Raja",FOOD_SERVICES,14465.41,SUCCESS,70,CRITICAL,P1 - Immediate Review,Fraud/unauthorized chargeback; Chargeback; Strong identity anomaly; High-chargeback merchant,Immediately review fraud/unauthorized chargeback evidence
TXN00013202,2026-01-02 20:12:41,USR52672,MCH2179,CHANDA-SURA,Fashion,12732.75,SUCCESS,70,CRITICAL,P1 - Immediate Review,Fraud/unauthorized chargeback; Chargeback; Strong identity anomaly; High-chargeback merchant,Immediately review fraud/unauthorized chargeback evidence
TXN00019245,2026-01-12 12:14:38,USR52299,MCH6960,DAS-DHAWAN,FOOD_SERVICES,24866.41,SUCCESS,68,CRITICAL,P1 - Immediate Review,Fraud/unauthorized chargeback; Chargeback; Repeated user chargebacks; High-chargeback merchant; High-value transaction,Immediately review fraud/unauthorized chargeback evidence
TXN00013934,2026-02-01 05:54:08,USR77709,MCH5422,sawhney llc,Fashion,24508.25,SUCCESS,68,CRITICAL,P1 - Immediate Review,Fraud/unauthorized chargeback; Chargeback; Repeated user chargebacks; High-chargeback merchant; High-value transaction,Immediately review fraud/unauthorized chargeback evidence
TXN00006912,2026-02-19 22:25:37,USR52813,MCH5057,,,24446.56,FAILED,68,CRITICAL,P1 - Immediate Review,Fraud/unauthorized chargeback; Chargeback; Repeated user chargebacks; High-chargeback merchant; High-value transaction,Immediately review fraud/unauthorized chargeback evidence
